condition,molecule,mean,sem
2_1,(S)-Malate,1.1027177947659659,0.10520817873550393
2_1,3-Phospho-D-glycerate,0.6466633345848234,0.03691187607918757
2_1,6-Phosphogluconic acid,1.843710803898632,0.38570433665326964
2_1,Biotin,0.3824863012534829,0.049936199112221476
2_1,Butyrate,0.296846655505966,0.057600025972478895
2_1,Citrate,0.905060244839461,0.018939076742972134
2_1,D-Fructose 6-phosphate,2.257021985194887,0.48413962957422696
2_1,D-glucose,1.1461322281417063,0.10369114792306816
2_1,Glucose_Na,0.43772746635073284,0.07598253810252634
2_1,Glucose_Na_b,0.5588187153433317,0.08084597748026473
2_1,Isocitrate,1.009295041965166,0.06189508808382345
2_1,L-Arginine,0.6759397558870283,0.07012819267876895
2_1,L-Histidine,0.9157386244916729,0.0934374248856629
2_1,L-Lactate,0.37065149226019994,0.05607444620995738
2_1,L-Phenylalanine,0.6729406640481737,0.028788294461431805
2_1,L-Threonine,0.846404254626025,0.036298586100044765
2_1,L-Tryptophan,0.5418526598097334,0.07719025851852067
2_1,L-Valine,0.696461577405513,0.06313519676025232
2_1,"R-2,3-Dihydroxy-isovalerate",2.564491455335814,0.4443945176170232
2_1,"R-2,3-dihydroxy-3-methylpentanoate",0.6024077520046577,0.025144139196583683
2_1,Succinate,1.1024787797302265,0.03440694192197487
2_2,(S)-Malate,2.576306271112591,0.3298925746464665
2_2,3-Phospho-D-glycerate,1.4614939476422624,0.22223433034402837
2_2,6-Phosphogluconic acid,1.4496107007249963,0.2996648937108726
2_2,Biotin,0.6481448578637198,0.1448839983905087
2_2,Butyrate,0.464863213743865,0.08922742790463532
2_2,Citrate,0.968063931642443,0.04281343825048533
2_2,D-Fructose 6-phosphate,1.7082174724760364,0.06022560754624357
2_2,D-glucose,1.9055554425617658,0.2124906808678549
2_2,Glucose_Na,0.5409065957938596,0.10433362302182522
2_2,Glucose_Na_b,0.7287774144094387,0.05822509750636085
2_2,Isocitrate,1.0658172350911042,0.05517783553578218
2_2,L-Arginine,2.259813944224885,0.428654013546395
2_2,L-Histidine,1.6480442758810667,0.23167314937733693
2_2,L-Lactate,0.6122062335166755,0.11038390421552123
2_2,L-Phenylalanine,1.4439051052187537,0.1554672868502785
2_2,L-Threonine,1.262956352446182,0.09055796546478628
2_2,L-Tryptophan,0.639002768140339,0.10956684736048009
2_2,L-Valine,1.4697227754387594,0.23692595604889338
2_2,"R-2,3-Dihydroxy-isovalerate",1.6641222206076058,0.2360038775028578
2_2,"R-2,3-dihydroxy-3-methylpentanoate",2.0301605095807918,0.42069462637328736
2_2,Succinate,1.810620416675092,0.28877852156410655
2_3,(S)-Malate,2.416231618041247,0.3947493293634211
2_3,3-Phospho-D-glycerate,1.053350248143431,0.16223014100344046
2_3,6-Phosphogluconic acid,0.2411545241534445,0.060069399975455906
2_3,Biotin,0.6046856813283944,0.13750510525700574
2_3,Butyrate,1.0242440987837957,0.26864411544884526
2_3,Citrate,1.336434062906969,0.13431861582260704
2_3,D-Fructose 6-phosphate,0.8281423826198941,0.15710572399417944
2_3,D-glucose,3.032040431168984,0.43245386465924934
2_3,Glucose_Na,0.5730390346687496,0.13737170551365852
2_3,Glucose_Na_b,0.671509100652622,0.1328839796360288
2_3,Isocitrate,1.3635614258053117,0.12204520394696575
2_3,L-Arginine,1.373569029158258,0.1620890338819084
2_3,L-Histidine,1.123540874624333,0.08706653834957591
2_3,L-Lactate,1.1134785930824476,0.25812944021657985
2_3,L-Phenylalanine,0.7702976984512787,0.03550881208115411
2_3,L-Threonine,0.9742227290902886,0.07046272962554812
2_3,L-Tryptophan,0.6525842804244674,0.13054329450032026
2_3,L-Valine,1.0211761748105503,0.13921133600398672
2_3,"R-2,3-Dihydroxy-isovalerate",0.66242145295313,0.03982416190541417
2_3,"R-2,3-dihydroxy-3-methylpentanoate",1.025541276293121,0.14515887208254205
2_3,Succinate,2.7803725050642094,0.6143728451590349
2_4,(S)-Malate,2.276476367450077,0.4713145234595839
2_4,3-Phospho-D-glycerate,1.1295143849524323,0.21515902457183472
2_4,6-Phosphogluconic acid,0.1692815002482186,0.044352490417961764
2_4,Biotin,0.660078980274221,0.20503917173136382
2_4,Butyrate,0.9915186410358428,0.26984814885100555
2_4,Citrate,1.3502232178595701,0.199207125937772
2_4,D-Fructose 6-phosphate,0.644975376643984,0.1442411283673764
2_4,D-glucose,4.33406143953176,1.0834132202439257
2_4,Glucose_Na,0.5314859746250442,0.14269936124242125
2_4,Glucose_Na_b,0.6300015593953954,0.147277672057396
2_4,Isocitrate,1.4140986775146693,0.20699544393008407
2_4,L-Arginine,1.5148568892249454,0.24732235093955893
2_4,L-Histidine,1.073003134050922,0.10419172790593842
2_4,L-Lactate,1.193394878397331,0.3156657233854269
2_4,L-Phenylalanine,0.7777522011452938,0.03268481218490361
2_4,L-Threonine,0.8966263225348089,0.01723419337473737
2_4,L-Tryptophan,0.6229822207931558,0.15755356847226193
2_4,L-Valine,1.0489830822447923,0.1455265441114166
2_4,"R-2,3-Dihydroxy-isovalerate",0.6239703383642694,0.050152056821432596
2_4,"R-2,3-dihydroxy-3-methylpentanoate",0.953439568794518,0.1524478754874821
2_4,Succinate,2.5282847903860515,0.5447343577602204
2_5,(S)-Malate,2.831152623009245,0.5039702074187479
2_5,3-Phospho-D-glycerate,1.3439034882524528,0.24041140544199072
2_5,6-Phosphogluconic acid,0.15590515037189243,0.04031319771020475
2_5,Biotin,0.6501603838515918,0.15803118075027794
2_5,Butyrate,0.9060942500079018,0.2537681403979864
2_5,Citrate,1.4160144494768667,0.20200015818856742
2_5,D-Fructose 6-phosphate,0.6938140498625608,0.15287162141842825
2_5,D-glucose,5.283655168596065,1.3851862455584323
2_5,Glucose_Na,0.5108024340286202,0.1347826898236645
2_5,Glucose_Na_b,0.6178050894218162,0.12357838203386351
2_5,Isocitrate,1.3554667533796918,0.19046626183145565
2_5,L-Arginine,1.7495465092490115,0.4009998002802115
2_5,L-Histidine,1.0457746803143648,0.11083114988636766
2_5,L-Lactate,1.1271199929790974,0.31358928945865144
2_5,L-Phenylalanine,0.7709296383796005,0.012191153905031645
2_5,L-Threonine,0.9529215079030396,0.05973952004919588
2_5,L-Tryptophan,0.6111864579351707,0.1340633229999944
2_5,L-Valine,1.162602339283668,0.23962447064970915
2_5,"R-2,3-Dihydroxy-isovalerate",0.6569738535738942,0.059339050535725205
2_5,"R-2,3-dihydroxy-3-methylpentanoate",1.0411124654305763,0.16365624531101874
2_5,Succinate,2.5453298034625327,0.47226006517545993
2_6,(S)-Malate,1.7188823807727645,0.1917576956413646
2_6,3-Phospho-D-glycerate,2.3633751829340905,0.3190540476071559
2_6,6-Phosphogluconic acid,1.3258544751043533,0.2367810880348552
2_6,Biotin,0.5071082317476825,0.07605643313791
2_6,Butyrate,0.4733791409244496,0.10832190976176659
2_6,Citrate,0.9494977274346416,0.03229168168509917
2_6,D-Fructose 6-phosphate,1.776866061498839,0.25932885142248163
2_6,D-glucose,5.001336962491702,0.3567729321990833
2_6,Glucose_Na,0.5368925204573478,0.04392477194766604
2_6,Glucose_Na_b,0.6483596852242612,0.03024294839701176
2_6,Isocitrate,0.9742043075481195,0.049417858686535185
2_6,L-Arginine,6.922380511453753,0.5319212719542937
2_6,L-Histidine,1.3581362974833784,0.1682282301454189
2_6,L-Lactate,0.7048078800758267,0.1426335566439031
2_6,L-Phenylalanine,0.8999914816210574,0.0393772079772268
2_6,L-Threonine,0.9683791387168257,0.022212836832902677
2_6,L-Tryptophan,0.6156329238843379,0.03515959703153243
2_6,L-Valine,1.3671196036536062,0.2021245115810816
2_6,"R-2,3-Dihydroxy-isovalerate",1.7900577995793858,0.216356094956921
2_6,"R-2,3-dihydroxy-3-methylpentanoate",1.165187876390263,0.16423374043725417
2_6,Succinate,1.8276765823229661,0.24217447536172954
2_7,(S)-Malate,2.7963325646514066,0.6480378119649065
2_7,3-Phospho-D-glycerate,1.3850988731880303,0.2899774915299438
2_7,6-Phosphogluconic acid,0.5148923572455252,0.15801238377100393
2_7,Biotin,0.5439725644640744,0.14974792305434692
2_7,Butyrate,0.676528596344514,0.17367313922431815
2_7,Citrate,1.2503572176894242,0.1724366833878077
2_7,D-Fructose 6-phosphate,1.0257184318547063,0.22406333367141065
2_7,D-glucose,4.853650505725623,1.373136763675136
2_7,Glucose_Na,0.49384741240099234,0.12375561781870584
2_7,Glucose_Na_b,0.5870453249829425,0.11936346471896497
2_7,Isocitrate,1.19367048296976,0.16426527715833392
2_7,L-Arginine,2.3013404887925666,0.5516570584771282
2_7,L-Histidine,1.2155959734106883,0.13532759519640258
2_7,L-Lactate,0.9254695845338285,0.25421816524647006
2_7,L-Phenylalanine,0.8412265599714278,0.018640383686492342
2_7,L-Threonine,0.9747239046876879,0.06471983353367818
2_7,L-Tryptophan,0.5812731752104536,0.1341666839120134
2_7,L-Valine,1.1896953448367442,0.19523940432877313
2_7,"R-2,3-Dihydroxy-isovalerate",0.8539634566955593,0.13164373551143954
2_7,"R-2,3-dihydroxy-3-methylpentanoate",1.060289139680405,0.19729105968559013
2_7,Succinate,2.3852408080506633,0.4773677725773628
