condition,molecule,mean,sem
0_1,(S)-Malate,0.6370084015245465,0.03690913993495018
0_1,3-Phospho-D-glycerate,1.2336947697598843,0.06612770124788947
0_1,6-Phosphogluconic acid,1.8920862255100808,0.04528789537601012
0_1,Biotin,0.8319955773292557,0.07678042623370898
0_1,Butyrate,0.3619075291835802,0.057465386434502344
0_1,Citrate,0.7037349603957401,0.020125687013178226
0_1,D-Fructose 6-phosphate,1.4985972690506302,0.07629299661913376
0_1,D-glucose,1.058872796001046,0.073992778988677
0_1,Glucose_Na,0.7626503607880902,0.055567375547200946
0_1,Glucose_Na_b,0.8048986268164903,0.04119665145357676
0_1,Isocitrate,0.8987431059792875,0.012302758594006959
0_1,L-Arginine,1.617498202139378,0.17092069068118848
0_1,L-Histidine,1.319492868071262,0.13391196209726894
0_1,L-Lactate,0.4167092129581489,0.07600166088447617
0_1,L-Phenylalanine,5.517782306425673,0.542618341932649
0_1,L-Threonine,1.9580301236052313,0.17684559186954366
0_1,L-Tryptophan,0.8480076463788567,0.037246390110622994
0_1,L-Valine,0.9555379473843122,0.1331198261195595
0_1,"R-2,3-Dihydroxy-isovalerate",2.5388264133237297,0.100603998755554
0_1,"R-2,3-dihydroxy-3-methylpentanoate",2.5789085172687893,0.1610760582801457
0_1,Succinate,0.3376719221922468,0.01239090467320689
0_2,(S)-Malate,1.3912083038855603,0.06827743703788797
0_2,3-Phospho-D-glycerate,1.1534577506826431,0.027737059035335635
0_2,6-Phosphogluconic acid,1.2259349577657421,0.1079941772937834
0_2,Biotin,0.7421696142377652,0.08146217567593175
0_2,Butyrate,0.8647252195257322,0.2145626755064003
0_2,Citrate,1.1359956795321056,0.08318223507679788
0_2,D-Fructose 6-phosphate,1.3328435647646482,0.11293039733556473
0_2,D-glucose,1.6910772938356113,0.08079857022461295
0_2,Glucose_Na,0.693329746071781,0.0625603535871474
0_2,Glucose_Na_b,0.7034586905455511,0.02142883627768161
0_2,Isocitrate,1.1747993173619091,0.07978191012264471
0_2,L-Arginine,2.746895074078538,0.3649280514773352
0_2,L-Histidine,1.6813712049549243,0.4104066555782997
0_2,L-Lactate,0.9560011929556128,0.18731114809606952
0_2,L-Phenylalanine,1.8210933767565145,0.358249416932699
0_2,L-Threonine,1.4135118047599609,0.3845427699903308
0_2,L-Tryptophan,0.6966492772432414,0.022790942317781268
0_2,L-Valine,1.9557032085897497,0.788815064044051
0_2,"R-2,3-Dihydroxy-isovalerate",1.8571188186626078,0.03968324493796089
0_2,"R-2,3-dihydroxy-3-methylpentanoate",1.5414269890198498,0.15459739263328476
0_2,Succinate,1.0525005381601527,0.11666002617439183
0_3,(S)-Malate,1.3265254702633051,0.07203598536353707
0_3,3-Phospho-D-glycerate,1.8878474592852985,0.10057110075950819
0_3,6-Phosphogluconic acid,1.490453296383901,0.13916394480267968
0_3,Biotin,0.7823127043074298,0.08379498143040048
